dt,Open,High,Low,Close,Volume
2023-01-19,3.22,3.22,3.2,3.22,60890365.0
2023-01-20,3.22,3.23,3.21,3.22,75151339.0
2023-01-30,3.24,3.25,3.21,3.23,149912574.0
2023-01-31,3.23,3.24,3.22,3.22,88604596.0
2023-02-01,3.22,3.23,3.2,3.22,108913528.0
2023-02-02,3.22,3.22,3.2,3.21,95902999.0
2023-02-03,3.21,3.22,3.2,3.21,100975924.0
2023-02-06,3.2,3.21,3.19,3.2,111525091.0
2023-02-07,3.2,3.21,3.19,3.19,65696219.0
2023-02-08,3.2,3.21,3.19,3.2,48409900.0
2023-02-09,3.21,3.21,3.2,3.21,51333890.0
2023-02-10,3.21,3.23,3.2,3.23,74722050.0
2023-02-13,3.23,3.23,3.21,3.21,80093585.0
2023-02-14,3.21,3.22,3.2,3.2,69687157.0
2023-02-15,3.21,3.21,3.2,3.2,36648820.0
2023-02-16,3.2,3.23,3.2,3.21,123648447.0
2023-02-17,3.22,3.23,3.21,3.22,79385789.0
2023-02-20,3.22,3.24,3.22,3.24,77084385.0
2023-02-21,3.24,3.24,3.23,3.24,60852608.0
2023-02-22,3.24,3.24,3.23,3.23,52939766.0
2023-02-23,3.24,3.24,3.22,3.23,98125190.0
2023-02-24,3.24,3.24,3.22,3.22,51398186.0
2023-02-27,3.22,3.22,3.21,3.21,57616339.0
2023-02-28,3.22,3.23,3.21,3.23,85384832.0
2023-03-01,3.23,3.24,3.22,3.24,74150580.0
2023-03-02,3.24,3.27,3.23,3.26,131111406.0
2023-03-03,3.27,3.32,3.26,3.31,188952449.0
2023-03-06,3.31,3.33,3.3,3.31,159190598.0
2023-03-07,3.31,3.41,3.3,3.34,330385225.0
2023-03-08,3.32,3.36,3.3,3.33,187085097.0
2023-03-09,3.34,3.38,3.33,3.35,224044140.0
2023-03-10,3.33,3.36,3.3,3.3,132462634.0
2023-03-13,3.29,3.33,3.28,3.32,124682895.0
2023-03-14,3.31,3.34,3.3,3.33,146560260.0
2023-03-15,3.35,3.4,3.34,3.39,237150206.0
